;Unnamed: 0;Unnamed: 0.1;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
11;11;11;2017-11-03 17:11;https://instagram.com/p/BbChG8GF8X5/;0;1.0;54.0;moviperformancegym;52.039260999999996;5.55949;Nothing worth having comes easy • Er wordt hard gewerkt, maar het is het allemaal dubbel en dwars waard. Vandaag is het rack geplaatst, zijn de deuren en de containers zijn geschilderd. Wat een dag!          ;54.0;2017-11-03 16:11:40;['movi', 'movigym', 'moviperformancegym', 'veenendaal', 'gym', 'fitness', 'crossfit', 'weightlifting', 'powerlifting', 'gymlife']
12;12;12;2017-02-24 06:59;https://instagram.com/p/BQ4ixfllD5L/;0;2.0;39.0;eaglesranch;53.066711;4.78852;             www.eaglesranch.com;39.0;2017-02-24 05:59:52;['bonteTexelseSchapen', 'BonteSchapen', 'BontSchaap', 'lammerij', 'Schapen', 'Lammeren', 'Lammetjes', 'BoerHenk', 'Geboortestal', 'EaglesRanch', 'Texel', 'collordSheep', 'Texel']
13;13;15;2017-08-08 11:05;https://instagram.com/p/BXhvI23giRX/;+;0.0;19.0;marteijn;51.566666;3.75;Hoppa, weer 12km in de benen  heerlijke run door Zeeuwse platteland en strandgebied     ;19.0;2017-08-08 09:05:09;['NeverNotRunning', 'KeepOnRunning', 'lovezeeland', 'zeeland', 'dishoek']
14;14;16;2017-07-04 20:30;https://instagram.com/p/BWIoB3dAeQj/;0;2.0;17.0;tomtomtomgo;51.700001;5.316669999999999;     ;17.0;2017-07-04 18:30:37;['fotoday', 'sintjan', 'bezoekdenbosch', 'shertogenbosch', 'ilovemycity', 'fotografie']
15;15;17;2017-10-25 14:09;https://instagram.com/p/Baq6SXSAlng/;0;0.0;12.0;janssen9798;;;Het laatste stukje blauwe  vandaag.     ;12.0;2017-10-25 12:09:55;['lucht', 'nederland', 'brabant', 'someren', 'sky']
16;16;18;2017-07-29 18:58;https://instagram.com/p/BXI1XRrDWd_/;0;0.0;12.0;slomocrew;;;We zijn in 010 voor een volgende EK wedstrijd tussen Duitsland en Denemarken @uefawomenseuro @uefa_official @endemolshinenederland @evsequipment @officialknvb @pimvdbosch    ;12.0;2017-07-29 16:58:32;['knvb', 'director', 'evsoperator', 'evs']
17;17;19;2018-03-12 15:07;https://instagram.com/p/BgOddwhALVv/;+;4.0;99.0;caroline_van_zeumeren;;;Paddenstoelen op een omgezaagde boom.#                       ;99.0;2018-03-12 14:07:42;['nederlandismooi', 'nederland', 'leusden', 'photooftheday', 'photo', 'fotoshoot', 'fotografie', 'foto', 'natuurmonumenten', 'natuurlijk', 'natuurfotografie', 'natuur', 'naturephotography', 'natureloversgallery', 'nature', 'natureza', 'fun', 'enjoylife', 'design', 'interieurstyling', 'gezelligheidkentgeentijd', 'happiness', 'gelukkig', 'enjoyed']
18;18;20;2017-08-13 20:39;https://instagram.com/p/BXvo4WYDWi4/;0;1.0;22.0;lamiacucinawijchen;51.810101;5.7381800000000025;   @lamiacucinawijchen ;22.0;2017-08-13 18:39:50;['catering', 'bestellen', 'wijchen', 'goodfood']
19;19;22;2018-01-29 17:34;https://instagram.com/p/Beik32FBDo0/;0;0.0;54.0;jeroenboschziekenhuis;51.685513;5.277732;Hoog bezoek vandaag. Paul Blokhuis, staatssecretaris van Volksgezondheid, Welzijn en Sport (VWS), liet zich vandaag in het Jeroen Bosch Ziekenhuis informeren over de succesvolle Bossche ketenaanpak voor kinderen met overgewicht. Hij sprak met ouders en professionals van onder meer GGD, gemeente en ziekenhuis. Vorig jaar zag ’s-Hertogenbosch een daling van overgewicht en obesitas bij kinderen in de leeftijd van 9 tot 11 jaar. Zie www.jbz.nl voor meer info.     ;54.0;2018-01-29 16:34:58;['vws', 'politiek', 'overgewicht', 'kinderen', 'jeroenboschziekenhuis']
20;20;23;2017-08-07 20:51;https://instagram.com/p/BXgNZS9ALgA/;+;0.0;4.0;pedrobiesma;52.266701;6.8;Lekker wandelen met Fenne en zus Anja en haar baasje bij kristalbad hengelo;4.0;2017-08-07 18:51:03;[]
21;21;24;2017-12-13 17:02;https://instagram.com/p/Bcpf5hGgy_w/;+;1.0;4.0;buitengewoonbr;;;A.s. zaterdag! Stoer Winterevent.  ;4.0;2017-12-13 16:02:53;['bodegraven', 'gezellig']
22;22;25;2017-10-06 12:54;https://instagram.com/p/BZ52lb8H6aC/;-;2.0;35.0;deritszalkmaar;52.63073000000001;4.7430699999999995;Kom je het Ontzet vieren met ons? Vanavond staat de Trots band én Texas Sugar op het podium bij De Ritsz!                    ;35.0;2017-10-06 10:54:47;['ontzet', 'alkmaarontzet', '8oktober', 'vierhetweekend', 'vierdevictorie', 'victoriefeesten', 'victoriefeestenalkmaar', 'alkmaar', 'livemuziek', 'trotsband', 'texassugar', 'podia', 'bier', 'borrel', 'feest', 'gezelligheid', 'uitgaan', 'alkmaarprachtstad', 'totvanavond']
23;23;29;2017-12-24 15:21;https://instagram.com/p/BdFnGq-gF7L/;+;2.0;21.0;ditiszenz;51.643372;4.8603;Cadeautip   toffe kraagjes voor onder een top, trui of jurkje! Prijs vanaf €19,95      ;21.0;2017-12-24 14:21:26;['6', 'zenz', 'ditiszenz', 'oosterhout', 'cadeautip', 'kraagje', 'kerst']
24;24;31;2017-11-18 17:36;https://instagram.com/p/BbpL6SNlWVp/;0;0.0;24.0;cube_design_museum;50.86177100000001;6.0580300000000005;Morgen is het zover: de eerste Urgent Run van Nederland! Het wordt 5 tot 7 graden. Laat je dat niet tegenhouden: voor alle deelnemers is een warme muts!  Nog niet ingeschreven? Dat kan ter plekke! Kom wel op tijd, de Run start om 14:00 uur 's middags. Meer info op CubeDesignmuseum.nl          ;24.0;2017-11-18 16:36:50;['urgentrun', 'run', 'running', 'kerkrade', 'ditisparkstad', 'limburg', 'visitlimburg', 'fitgirl', 'fitboy', 'walk']
25;25;32;2017-11-27 15:58;https://instagram.com/p/BcAL2Jxh98j/;+;0.0;13.0;bolton_groep;;;Vandaag de eerste  van Bolton à la Carte project 'Lindeweyde' te  opgeleverd. Van harte gefeliciteerd met jullie nieuwe woning!;13.0;2017-11-27 14:58:48;['woningen', 'Linschoten']
26;26;33;2017-03-02 17:56;https://instagram.com/p/BRJKp55F8ms/;0;0.0;9.0;miriam0661;;;               ;9.0;2017-03-02 16:56:13;['familysdayout', 'paleishetloo', 'apeldoorn', 'gelderland', 'museum', 'oranje', 'beautiful', 'love', 'learn', 'together', 'family', 'Netherlands', 'baroktuinen', 'koninklijkpaleis', 'royal']
27;27;35;2017-10-12 11:07;https://instagram.com/p/BaJHB9eDuWk/;0;1.0;9.0;lindawijkagent;;;Iemand zijn kinderwagen kwijt? Wij vragen de gemeente hem op te halen.   ;9.0;2017-10-12 09:07:06;['quinny', 'molenwal', 'asperen']
28;28;36;2017-08-30 15:47;https://instagram.com/p/BYa46pvggBr/;0;5.0;59.0;styledbyjuuls;52.09256;5.1218699999999995;Sweetthings              ;59.0;2017-08-30 13:47:18;['sweet', 'adorable', 'earrings', 'nowin', 'cantchoose', 'wantitall', 'pompom', 'realstones', '18kplated', 'styling', 'stylisch', 'fashion', 'styledbyjuuls', 'utrecht']
29;29;38;2017-08-13 15:51;https://instagram.com/p/BXvH2T8ANey/;0;1.0;23.0;prachtig_almere;;;Almere Stad  Foto Ruud Kompier      ;23.0;2017-08-13 13:51:12;['weerwater', 'almere', 'almerestad', 'zonsopkomst', 'prachtigalmere']
30;30;39;2017-10-17 14:38;https://instagram.com/p/BaWXMmnA4er/;0;0.0;135.0;tugbacelik;51.700001;5.316667;Doğa ile baş başa olmak, tefekkür'e sebep, şükretmeye vesile..                       ;135.0;2017-10-17 12:38:29;['hollanda', 'denbosch', 'nature', 'tree', 'views', 'hayati_paylas', 'severekcekiyoruz', 'beautiful', 'kadraj_arkasi', 'benimkadrajim', 'nederland', 'şükür', 'tefekkür', 'instadenbosch', 'tree', 'natuur', 'igersnederland', 'ig_holland', 'landscape', 'doğa', 'photoplatonic', 'hayatakarken', 'noordbrabant']
31;31;40;2018-03-05 15:51;https://instagram.com/p/Bf8g3SRgYnX/;0;0.0;9.0;jongerencentrumdoesburg;;;Waar ga jij stemmen?  ;9.0;2018-03-05 14:51:04;['gemeenteraadsverkiezingen2018', 'Doesburg']
32;32;41;2018-04-29 22:44;https://instagram.com/p/BiKxAmYDFRv/;0;0.0;21.0;vanhoofevents;;;     ;21.0;2018-04-29 20:44:18;['cupdercuppen', 'vanhoofevents', 'gvoetbalweekend', 'tilburg', 'amarant', 'winnaar20mei']
33;33;43;2017-09-20 20:21;https://instagram.com/p/BZRc_iYBTrM/;+;1.0;78.0;rooser;51.91713;4.4694;| D I N N E R • @kinorotterdam, wat was dit lekker! zwaardvis met risotto en pompoen, en de lavendel crème brûlée was echt mjam • |                          ;78.0;2017-09-20 18:21:32;['dinsdag', 'tuesday', 'avondeten', 'dinner', 'uiteten', 'zwaardvis', 'risotto', 'kino', 'kinorotterdam', 'rotterdam', 'gezond', 'healthy', 'healthyfood', 'gezondeten', 'gezondevoeding', 'makkelijkemaaltijd', 'foodstagram', 'weightwatchers', 'ww', 'weightwatchersnl', 'mkbm', 'mykillerbodydieet', 'mykillerbodymotivation', 'weightloss', 'afvallen', 'healthydutchies']
34;34;44;2017-09-10 20:47;https://instagram.com/p/BY3v_GHnAIp/;0;0.0;5.0;traveller_tuncay;52.961769;-2.0638799999999997;A50 highway    ;5.0;2017-09-10 18:47:14;['a50', 'helicopterflight', 'nijmegen', 'carpediem']
35;35;45;2017-08-15 21:28;https://instagram.com/p/BX04Cd1F-7U/;0;5.0;19.0;wouter418213;51.810001;4.67;Grote kerk in Dordrecht                     ;19.0;2017-08-15 19:28:29;['historicalmonument', 'kerk', 'lamp', 'historicphoto', 'curch', 'grotekerk', 'oldtimes', 'oldcity', 'bomen', 'tree', 'faith', 'jezus', 'god', 'dordrecht', 'zuidholland', 'nederland', 'thenetherlands', 'architecturephotography', 'dutcharchitecture', 'summervibes', 'summer']
36;36;46;2018-05-05 18:59;https://instagram.com/p/BiZ0G4Xl7iO/;0;0.0;10.0;rgwolfs;;;     ;10.0;2018-05-05 16:59:59;['aandewandel', 'doorkijkje', 'reelaer', 'heino', 'salland', 'landgoed']
37;37;47;2017-07-08 16:02;https://instagram.com/p/BWSch3tjfYF/;0;0.0;14.0;hilda_koopmans;;;       ;14.0;2017-07-08 14:02:32;['love', 'trouwen', 'trouwfotograaf', 'Groningen', 'wadden', 'polder', 'bruiloft', '7juli2017']
38;38;48;2018-03-30 17:31;https://instagram.com/p/Bg89XlZFC8r/;0;0.0;24.0;fonny_jane;51.9333;5.88333;wild goose sanctuary                               ;24.0;2018-03-30 15:31:32;['springday', 'natureshot', 'naturepic', 'springhascome', 'rijkerswoerd', 'arnhemstagram', 'gemeentearnhem', 'bythecreek', 'beautifulholland', 'beautifularnhem', 'gelderland', 'onlyinholland', 'mooinederland', 'holland', 'thenetherlands', 'netherlands', 'reflections', 'regioarnhemnijmegen', 'omroepgelderland', 'vvvarnhem', 'doorarnhem', 'geldersestreken', 'gelderland', 'gelderschlandschap', 'gelderlandmooi', 'arnhemnijmegen', 'dernederlanden', 'igersholland', 'igersnetherlands', 'buitengewoon_gld']
39;39;49;2017-04-01 20:18;https://instagram.com/p/BSWj79ggIZy/;0;1.0;92.0;zeehavenpolitierotterdam;51.904095;4.484456;De avond zit eraan te komen.    @onzehaven     ^RKr;92.0;2017-04-01 18:18:39;['rotterdam', 'euromast', 'zeehavenpolitie', 'politievoertuigengroepnederland', 'politievoertuigfotos', 'politievoertuigen', 'hulpverleningsvoertuigen']
40;40;50;2018-03-26 22:46;https://instagram.com/p/BgzORc6l4zi/;0;1.0;10.0;esthervandijk7;;;Vandaag gewerkt in      ;10.0;2018-03-26 20:46:50;['utrecht', 'station', 'stationsgebied', 'plafond', 'kijkomhoog', 'hoogcatharijne']
41;41;51;2017-12-19 21:02;https://instagram.com/p/Bc5YED4A6c4/;+;0.0;15.0;riesenmammutbaum;51.603619;4.77891;Mooie Mammoetboom met kerstversiering in Breda bij de Intratuin    ;15.0;2017-12-19 20:02:16;['intratuin', 'breda', 'sequoia']
42;42;52;2017-08-06 17:28;https://instagram.com/p/BXdRczWHyoG/;+;3.0;66.0;inges72;53.30471800000001;5.079692;Glamping              ##;66.0;2017-08-06 15:28:46;['stortemelk', 'dewaard', 'vlieland', 'blofield', 'bestplace', 'ikea', 'lafuma', 'glamping', 'kamperen', 'vakantiegevoel', 'jobek', 'relax']
43;43;53;2018-03-10 17:03;https://instagram.com/p/BgJhGRpDzYh/;0;4.0;34.0;djxlpro;52.512341000000006;6.0934;"Thnx Specsavers Zwolle voor de top service! Ik ben er uit. Na een ""try out"" vanmorgen zijn lenzen definitief van de baan. Maarrrr... Ik ben 2 nieuwe (sport)brillen rijker!        ";34.0;2018-03-10 16:03:14;['specsaverszwolle', 'klantvriendelijk', 'xlpro', 'xlprosportclub', 'zwolle', 'brillen', 'opticien']
44;44;54;2017-09-04 10:38;https://instagram.com/p/BYnNgBbAxSa/;+;0.0;7.0;caronoorlander;;;Yes, kaarten in the pocket   ;7.0;2017-09-04 08:38:03;['racoon', 'ziggodome', 'lovethem', 'music']
45;45;55;2017-06-30 17:46;https://instagram.com/p/BV-CGywFqKu/;+;0.0;4.0;vanhasselmakelaars;51.4706;4.6611;Nieuw Bruine Berk 6 Zundert Vraagprijs € 145.000,-- k.k.    slaapkamers  ;4.0;2017-06-30 15:46:50;['nieuw', 'bungalow', 'gelijkvloers', '2', 'zundert', 'makelaar']
46;46;56;2018-03-16 10:09;https://instagram.com/p/BgYOi3DDHPF/;+;3.0;118.0;abookwormlife;52.08205;5.06714;Heerlijke avond gehad gister bij het evenement voor het nieuwe boek van Sebastien de Castell: Schaduwzwart, het vervolg op Vogelvrij.  Bedankt @meisenmaas voor de leuke avond en de mogelijkheid om de geniale Sebastien te horen spreken. • ° •                      ;118.0;2018-03-16 09:09:43;['sebastiendecastell', 'auteur', 'schrijver', 'evenement', 'yaevenement', 'youngadult', 'fantasy', 'vervolg', 'meisenmaas', 'schaduwzwart', 'vogelvrij', 'purple', 'kerk', 'kathedraal', 'utrecht', 'boek', 'boeken', 'intervieuw', 'booknerd', 'booklover', 'bookworm', 'abookwormlife']
47;47;57;2018-02-07 16:52;https://instagram.com/p/Be5rCkXnoPv/;+;1.0;26.0;prosport_healthcenter;51.964451000000004;6.30105;"Vanaf nu ook verkrijgbaar bij ProSport Healthcenter: @ironsupplementsnl . * Whey Aardbei / Banaan / Chocolade * Vitamine D3 * Magnesium * Pre-workout * Creatine . Het IRON Verhaal . ""In de huidige samenleving wordt men dagelijks gedwongen enorm veel keuzes te maken. Om deze keuzestress te verminderen heeft Iron Supplements de juiste al voor je gemaakt. . Iron Supplements biedt enkel de meest effectieve, bewezen supplementen aan. Dit kost jou geen energie terwijl je absolute top kwaliteit krijgt. Niet 15 pagina’s aan potten whey bekijken, maar in 1 oogopslag de beste keuze. . Voor serieuze resultaten en een ambitieuze leefstijl is Iron Supplements de perfecte partner!"" . Geef je bestelling door bij de balie van ProSport Healthcenter. .    ";26.0;2018-02-07 15:52:11;['ironsupplements', 'prosporthealthcenter', 'doetinchem', 'letsgetserious']
48;48;59;2017-07-03 02:51;https://instagram.com/p/BWEJ_HWlpU_/;+;2.0;28.0;2disco.co.uk;52.316565999999995;0.5409689999999999; Congratulations to Mr & Mrs Deal! A sensational Sunday wedding reception at Tuddenham Mill 02-07-17   A fantastic evening celebrating!    Using our rustic hessian DJ booth.   Have your name onto the dance floor for free on any of our set-ups  Follow us for all the services we provide on Instagram, Twitter & Facebook or visit: 2disco.co.uk                               ;28.0;2017-07-03 00:51:08;['2disco', 'wedding', 'marriage', 'BigDay', 'ido', 'WeddingReception', 'mill', 'mobiledisco', 'dj', 'thetford', 'Mildenhall', 'tuddenhammill', 'tuddenham', 'music', 'disco', 'party', 'firstdance', 'vintage', 'rustic', 'hessian', 'countryside', 'hitched', 'newlyweds', 'happycouple', 'gettinghitched', 'celebration', 'weddingbreakfast', 'eastanglia', 'suffolk', 'norfolk']
49;49;60;2017-07-01 13:38;https://instagram.com/p/BWAKg36j4tp/;0;1.0;70.0;jitskeschols;;; @pshetparool (@get_repost)  We waren thuis bij Ronnie Flex. 'Ik ben een losgeslagen schip'  @ronnieflex010 @parool foto: @jitskeschols    ;70.0;2017-07-01 11:38:47;['Repost', 'jitskeschols', 'ronnieflex', 'amsterdam', 'parool']
50;50;61;2017-03-15 18:39;https://instagram.com/p/BRqt6DBgdyG/;+;0.0;16.0;madame_fuess;52.376465;4.937737;Mehr davon!!!                      ;16.0;2017-03-15 17:39:11;['amsterdam', 'zuid', 'cafezuid', 'omnomnom', 'fressfress', 'essen', 'sandwich', 'chicken', 'bacon', 'cheese', 'salad', 'nachos', 'smoothie', 'coke', 'nachbarschaft', 'hafenkante', 'persönlichepromenade', 'lovelypeople', 'friendlypeople', 'neighbours', 'neighbourhood', 'feelinglikehome']
51;51;62;2017-12-16 21:27;https://instagram.com/p/BcxsisDHD3f/;0;13.0;100.0;frank_bosvelt_;;;De verlichte watertoren in Winterswijk                  ;100.0;2017-12-16 20:27:17;['winterswijk', 'achterhoek', 'gelderland', 'holland', 'nightshot', 'dronepic', 'dji', 'olympus45mm', 'inspire1pro', 'x5camera', 'drone', 'xmas', 'kerst', 'kerstverlichting', 'watertoren', 'xmaslights', 'citylights']
52;52;63;2018-02-17 13:33;https://instagram.com/p/BfTEbRHgT1c/;0;1.0;43.0;harmjanbouwers;52.778149;6.9119100000000016;Aspirant student met smaak?        ;43.0;2018-02-17 12:33:43;['opendag', 'nhlstenden', 'emmen', 'citroën', 'citroëncx', 'citroen', 'citroencx', 'cx']
53;53;65;2017-11-29 08:14;https://instagram.com/p/BcEgPmjDIcj/;0;0.0;32.0;lisa_westerveld;;; in    ;32.0;2017-11-29 07:14:00;['Oranjevrouwen', 'Nijmegen', 'NEDIER', 'goffertstadion']
54;54;67;2017-04-01 14:18;https://instagram.com/p/BSV6quagJlv/;0;1.0;15.0;oisterwijknieuws;;;Binnenkort  ;15.0;2017-04-01 12:18:02;['Tiliander', 'Oisterwijk']
55;55;68;2017-10-07 12:25;https://instagram.com/p/BZ8YAusFar_/;+;0.0;28.0;soofhollenkamp;52.341228;4.8899099999999995;• Het is dat mijn huisje nu toch wel redelijk 'af' begint te raken voor wat betreft alle meubels maar oh oh oh wat is deze stijl van @riverdale.living toch ook prachtig •            ;28.0;2017-10-07 10:25:21;['vtwonen', 'vtwonenendesignbeurs', 'rai', 'living', 'interior', 'design', 'styling', 'decorating', 'liefde', 'crush', 'pastel', 'soft']
56;56;69;2017-12-04 14:02;https://instagram.com/p/BcSAD-xFBse/;+;3.0;58.0;annadi__;52.083302;5.13333;We did it!  • • •    ;58.0;2017-12-04 13:02:09;['new', 'room', 'home', 'utrecht']
57;57;70;2018-06-23 08:18;https://instagram.com/p/BkW1m7zFxpk/;+;3.0;140.0;efteling_de;;;Und, steht das  schon kalt für heute Abend?    Unsere Daumen sind gedrückt! Was ist euer ?               ;140.0;2018-06-23 06:18:10;['Bier', 'Tipp', 'Efteling', 'Freizeitpark', 'Holland', 'CarnavalFestival', 'WM', 'Fußball', 'Worldcup', 'Deutschland', 'Schweden', 'GERvsSWE', 'Toitoitoi', 'Familie', 'Freunde', 'Spaß']
58;58;71;2018-01-08 10:25;https://instagram.com/p/Bdruh3cjh1v/;-;0.0;30.0;mrfrankvisser;;;Vanavond op @sbs6nl om 21.30 uur een nieuwe aflevering! ~             ;30.0;2018-01-08 09:25:06;['meesterfrankvisserdoetuitspraak', 'nieuwseizoen', 'meesterfrankvisser', 'hondjes', 'blaffen', 'overlast', 'probleem', 'geluidsoverlast', 'burenruzie', 'arnhem', 'rechter', 'oplossing', 'uitspraak']
59;59;72;2017-08-16 09:31;https://instagram.com/p/BX2K1f4FGG8/;+;0.0;24.0;fazepewmew;;;Megadeth is cool      ;24.0;2017-08-16 07:31:59;['tilburg', 'kip', 'braadworst', 'kiko', 'dave', 'megadeth']
60;60;74;2017-07-06 22:08;https://instagram.com/p/BWN831GlcS8/;+;1.0;33.0;hellobiernl;;;We zijn vernieuwend en altijd op zoek naar Iers unieks. Daarom hebben we nu een glutenvrij pakket samengesteld met 8 speciaalbieren. Ben of ken jij iemand met een glutenallergie? Check onze site en geniet van speciaalbier.                ;33.0;2017-07-06 20:08:57;['hellobier', 'speciaalbier', 'gluten', 'bierpakket', 'glutenallergie', 'bier', 'proeven', 'ontdekken', 'genieten', 'speciaalbierpakket', 'geengluten', 'glutenvrij', 'glutenvrijbier', 'denbosch', 'lekker', 'proost']
61;61;75;2018-08-19 12:15;https://instagram.com/p/BmqCG9VHdBr/;+;0.0;37.0;buentingsport;;;Supergrote zijn wij op Marcel (foto rechts) en Olof (foto links) de leerlingen van sensei Roberto Middelburg. Beide hebben hun 2de dan Ju-Jitsu behaald! GEFELICITEERD heren.       ;37.0;2018-08-19 10:15:45;['buentingsport', 'amstelveen', 'jujitsu', 'eboacademy', '2dedan', 'examens']
62;62;76;2018-03-24 16:04;https://instagram.com/p/BgtdcnHACc8/;0;3.0;11.0;taronjashop;;;Klaar met de  !  met .  voor de Russische   @taronjashop  Taronja.nl;11.0;2018-03-24 15:04:00;['russischebeer', 'plaids', 'korting', 'achterdehand', 'paashaas', 'zwolle']
63;63;77;2018-03-21 09:14;https://instagram.com/p/BglAKBVncjg/;+;1.0;55.0;chaosjeans;;;Superleuke collectie van Maison Runway..       ;55.0;2018-03-21 08:14:08;['springcollection', 'maisonrunway', 'nieuw', 'chaosjeans', 'kromstraat', 'veldhoven']
64;64;78;2017-02-27 11:34;https://instagram.com/p/BRAwiqSALUx/;+;1.0;27.0;luukbreimer;51.695941999999995;5.271743;Wat een heerlijk weekend! Naar een optreden geweest van de vader en een heerlijk dagje Spa & Sauna bij Devarana. Nu tijd voor een weekje vakantie!          ;27.0;2017-02-27 10:34:06;['devarana', 'band', 'spa', 'sauna', 'denbosch', 'theaterdeslinger', 'wellness', 'family', 'love', 'vacation']
65;65;79;2017-12-02 17:50;https://instagram.com/p/BcNQp-hASfc/;0;0.0;9.0;pvanderboom;;;Eerst poseren, dan voetballen en winnen van Volendam.  ;9.0;2017-12-02 16:50:57;['ing', 'zaterdag']
