;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
44;44;2018-02-07 16:32;https://instagram.com/p/Be5o9aOH9RC/;0;0.0;11.0;jumbobinnendijk;;;Woensdag 28 februari start onze Spek de Kas actie! Jumbo Binnendijk stelt voor deze actie een bedrag van € 5.000 beschikbaar. Aan het eind van de actie wordt dit bedrag naar verhouding verdeeld over alle gedoneerde waardepunten en uitgekeerd aan de deelnemende verenigingen. Nieuwe verenigingen en scholen kunnen de aanmeldcode opvragen in de winkel. Heb jij al een aanmeldcode? Schrijf je verening of school in op www.sponsoractie.nu/participants/register/fietyoxa  Tag iemand die jouw vereniging of school moet inschrijven!          ;11.0;2018-02-07 15:32:41;jumbobinnendijk jumbo hallojumbo twello boodschappen spekdekas inschrijven spaaractie spaargekte
45;45;2018-01-11 13:13;https://instagram.com/p/BdzwvFBhWb_/;+;0.0;33.0;high5.sco;;;High 5! Op naar de volgende pitch! Wens deze twee toppers succes door de foto te liken!        ;33.0;2018-01-11 12:13:48;high5 high5sco toppers pitchen tilburg acrylicone studentcompany
46;46;2017-08-25 12:09;https://instagram.com/p/BYNn-eDAzY0/;+;21.0;475.0;editienl;;;Wat een schatjes, hè? Dit zijn Harry en Laurens, de cavia's van de Enschedese Linde. Ze fotografeert haar huisdieren al een paar jaar waardoor ze nu een super populair Instagram-account heeft. Lees haar hele verhaal op onze site (link in bio).              ;475.0;2017-08-25 10:09:09;Editienl instaditie nieuws news nederland netherlands cavia foto fotografie huisdier pet petoftheday guineapigture enschede
47;47;2017-03-10 23:18;https://instagram.com/p/BReV8BlgWS3/;0;1.0;27.0;pannenophetdak;51.584293;4.775578;Hebben jullie al honger? 23 juni - 2 juli 2017 Pannen op het Dak, Concordia Parkeergarage Breda       ;27.0;2017-03-10 22:18:51;rooftop popuprestaurant dak parkeergarage breda brabofood wearefood2018
48;48;2017-03-28 22:22;https://instagram.com/p/BSMe6yuBmh5/;+;0.0;46.0;vliegendtapijt;51.618301;5.4364;Een mooie maandagochtend!                           ;46.0;2017-03-28 20:22:24;schijndel natuur natuurfotografie nature naturephotography spring springisintheair lente genieten enjoy clouds cloudporn cloudstagram water bomen trees laan bossen bos wood woods zon sun brabant visitbrabant biking fietsen
49;49;2017-08-17 10:04;https://instagram.com/p/BX4zUv9gzUt/;+;2.0;67.0;denissauter1987;;;Can't wait for this Weekend                 #            ;67.0;2017-08-17 08:04:15;DecibelOutdoorFestival2017 DecibelOutdoorFestival DecibelOutdoor Decibel2017 DB17 DB DBWKND17 DBWKND Decibel Outdoor Festival Weekend b2s Camping Vip BeekseBergen Hilvarenbeek NL Nederland Early Euphoric Raw Hardstyle Hardcore Uptempo Jump Tek PartyHard
50;50;2018-07-17 13:29;https://instagram.com/p/BlVMRwLAWtZ/;+;0.0;20.0;yolokapper;51.71386;5.35949;Ben jij al summer proof? We hebben nog plaats deze week! En lekker koel binnen! 0738884411                         ;20.0;2018-07-17 11:29:10;yolo yolokapper hair color shine colors colormelting hairdressers love unicornhair creative beautiful fun love kapper follow lanza lanzalove fashion summer magic like afspraak dorpsstraat109 rosmalen
52;52;2017-09-29 21:09;https://instagram.com/p/BZotmDplEe2/;0;1.0;40.0;rian3001;51.648151;5.053511;Vriendinnendagje  Het sprookjesbos blijft leuk ;40.0;2017-09-29 19:09:08;Efteling
53;53;2017-12-14 14:24;https://instagram.com/p/BcryhdSFlU7/;+;0.0;13.0;lotsofleuks;;;...ja het kan nog mooier...Barbarossa by Lots of Leuks       ;13.0;2017-12-14 13:24:06;lotsofleuks tassen tassentheater haarlem barbarossabags nieuw loveit
54;54;2018-08-09 12:00;https://instagram.com/p/BmQQdY1BW8Y/;+;0.0;23.0;stoom013;;;Ow bijna vergeten!  we hebben natuurlijk ook gewoon heel veel lekkere frisdrankjes !!  foto door @roospiersonfotografie  @vanmollcraftbeer   @boccacoffee         @publicpie;23.0;2018-08-09 10:00:54;spz013 stoom013 boccacoffee bocca tilburg tillie spoorzonetilburg lekkergenieten nueersteenbakjekoffie genieten
55;55;2017-01-31 23:02;https://instagram.com/p/BP8d5twjFnI/;0;0.0;19.0;christel_smits;51.700001;5.3166699999999985;Oeteldonk - voorbereiding.     # Oeteldonk  #;19.0;2017-01-31 22:02:52;gemeenteshertogenbosch instadenbosch bezoekdenbosch mijnbd omroepbrabant
56;56;2017-06-29 01:32;https://instagram.com/p/BV5t2Rag-0G/;0;5.0;113.0;krisdadem;;;  ;113.0;2017-06-28 23:32:51;efteling themepark dancers
57;57;2017-09-11 14:44;https://instagram.com/p/BY5rPakHQHd/;0;0.0;71.0;lightsigns_and_letter_studio;52.450661;5.49925;Flatlands 2017 was thrilling.               ;71.0;2017-09-11 12:44:16;yamaha dirttrack flattrack flattracker xt500 speedway 2endisafirstloser lelystad bbq rihanna Slayer gardena yolo boxvan nog1nummertje
58;58;2018-02-04 19:01;https://instagram.com/p/BeyLprUnbtu/;0;6.0;41.0;astridsatelierdownunder;;;Tongerense bos bij Epe NL ..                ;41.0;2018-02-04 18:01:54;natuur bossen heide artcollective artcollecters oilpainting oilpaints oilpaintingoncanvas artnews artjourney artjournal masterpiece fineart forrest fineartists oilpainting galleries
59;59;2017-11-16 15:45;https://instagram.com/p/Bbj1kbXnsoa/;0;0.0;22.0;jorritdehaas;;;               ;22.0;2017-11-16 14:45:24;KDC10 mcdonnelldouglas RNLAF koninklijkeluchtmacht airforce eindhovenairport eindhovenairbase eindhoven airplane triholer avgeek aviation defensie luchtmacht takeoff runway
60;60;2017-11-14 22:19;https://instagram.com/p/BbfZG3sB0rb/;+;7.0;33.0;ms_annie_bee;;; - Drie keer de  en natuurlijk de altijd mooie ! * * *   ;33.0;2017-11-14 21:19:44;glow17 Blob Catharinakerk glow lightfestival eindhoven
61;61;2017-11-27 18:37;https://instagram.com/p/BcAd_zDBr2J/;0;3.0;179.0;donkerutrecht;52.086441;5.122174;Oudegracht ter hoogte van Lijnmarkt, september 2013  De mooiste cadeaus van het Utrechtse donker, waaronder prints voor aan de muur & jaar- en verjaardagskalenders, bestel je hier:  https://donkerutrecht.nl/te-koop/  Met gratis inpakservice voor de kalenders.  Link in BIO                             ;179.0;2017-11-27 17:37:24;lijnmarkt oudegracht oudegrachtutrecht oldcanal lijnmarkt utrecht utrechtcity utca utreg visitutrecht utrechthotspot utrechtmijnstad utrecht_netherlands utrechthotspots inutrecht bezoekutrecht mijnstadsie utrechtcentrum 030love utrechtbynight exploringutrecht donkerutrecht netherlands travelgram wanderlust picoftheday photooftheday grachtenpand
62;62;2017-12-10 09:49;https://instagram.com/p/Bcg_3z5HStQ/;+;3.0;82.0;dutch_diamond_community;;;Een wereldklasse werkhouding heeft niks te maken met talent!                  ;82.0;2017-12-10 08:49:06;slagen nederland network passie amsterdam levenstijl love vrijheid inspiratie persoonlijkegroei mind respect justdoit goals dromen dutch minifest
63;63;2017-12-16 21:59;https://instagram.com/p/BcxwMbJjFt6/;+;1.0;135.0;eindhovensrondje;51.43914;5.478687;Dansjes doen in Eindje      music                ;135.0;2017-12-16 20:59:12;uitgaan stappen dansen sjansen eindhovensrondje stadscafe markt plezier ontlading eindhoven grotemarkt markt weekend proost cheers uitgaansleven opstapmetdemannen bier gintonic wijn bacardi
64;64;2017-04-24 20:33;https://instagram.com/p/BTRz7jOBNte/;0;0.0;10.0;mamavanmara.niene;52.081921;4.326980000000002;  ;10.0;2017-04-24 18:33:36;brandweervrouw Nienefleur kinderboekenmuseum
65;65;2017-06-13 20:17;https://instagram.com/p/BVSh1pIFazl/;0;1.0;3.0;picturetaker75;;; ;3.0;2017-06-13 18:17:32;denbosch noordbrabantsmuseum
66;66;2017-12-25 10:51;https://instagram.com/p/BdHu4RzlFq9/;+;5.0;23.0;marjoleinvdschans;51.902599;4.16372;Perfect Christmas night          ;23.0;2017-12-25 09:51:00;desmaeckvanbrielle christmasnight xmas feedme goodfood foodspiration photography brielle dinnerwiththefamily goodvibes
67;67;2017-09-13 21:46;https://instagram.com/p/BY_lIhqjoI3/;0;2.0;50.0;atfirst_band;;;@bredabarst GET READY           ;50.0;2017-09-13 19:46:20;bredabarst 2017 atfirst dreamsinc alternative rock metal live breda alleskapot vollenbakambiance
68;68;2017-04-21 17:40;https://instagram.com/p/BTJxuSYhOpf/;+;1.0;73.0;dddancestudiolelystad;;;Eerst instantie alleen de middenbouw lesgeven maar daar waren de onderbouw en bovenbouw het niet mee eens dus toen maar even snel met de hele school een dansje gedaan! TOPPERS            ;73.0;2017-04-21 15:40:23;fun kids dansen dansworkshop lelystad koningsspelen lelystad dd ddkid ddkids dddancestudio dddancestudiolelystad
71;71;2017-11-29 09:10;https://instagram.com/p/BcEmrO4H0Qu/;+;13.0;1072.0;traveler.lifestyle;51.916698;4.5;Beautiful clouds reflection!  Rotterdam, Holland • Tag your own journey buddies!  •  By @tatsolbe  •  Keep tagging @traveler.lifestyle to be featured! • • • • •                               ;1072.0;2017-11-29 08:10:12;travelingram traveler travelling instatraveling tourist tourism igtravel visiting mytravelgram traveller instapassport instago travels traveltheworld travelblog travelblogger travelphoto travelpics traveladdict travellife travelbug europe aroundtheworld backpacker globetrotter backpacking traveldiaries rotterdamcity lost_world_treasures marvelouz_world
72;72;2018-01-29 09:47;https://instagram.com/p/BehvdtglJCE/;0;2.0;27.0;kapsterloes;51.82983;4.144566;Boek nu online jouw kleurafspraak. Laat je adviseren en verrassen met onze nieuwe kleuren. ‍dinsdag 30 januari zijn er nog plekjes beschikbaar.         ;27.0;2018-01-29 08:47:45;elemental iamgoldwell maakonlineafspraakofbel hellevoetsluis kapsterloes kapsalon trend colorspecialist
73;73;2017-05-06 21:12;https://instagram.com/p/BTwx9cflpfh/;+;0.0;11.0;paulawensink;;;Schiphol, blijft magisch     ;11.0;2017-05-06 19:12:50;schiphol amsterdam amsterdamairport iloveamsterdam
74;74;2018-03-29 20:09;https://instagram.com/p/Bg6qoVxBAOn/;+;0.0;15.0;heetkamp;;;Wat een mooie avond op !;15.0;2018-03-29 18:09:19;Terschelling
75;75;2017-11-11 16:21;https://instagram.com/p/BbXBbh1gOut/;0;0.0;25.0;descheveninger_insta;52.112759;4.2826;Hakkûh! tijdens @cooleventscheveningen.              ;25.0;2017-11-11 15:21:05;scheveningen icecarving ijssculptuur schaatsbaan muziek diepindezee crazypianos coolevent schaatsen koud ijs feestaanzee aanzee
76;76;2017-10-13 13:43;https://instagram.com/p/BaL9tvpAUR5/;+;0.0;27.0;onzenieuwewinkel;;;GIRLS STUFF   ;27.0;2017-10-13 11:43:25;girlswear kinderkledingwinkel gouda
